genome_ID	strain_taxid	species_taxid	organism_name	id
GCF_001516345.1_ASM151634v1	287	287	Pseudomonas aeruginosa	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_001516345.1_ASM151634v1_genomic.fna
GCF_001516105.1_ASM151610v1	287	287	Pseudomonas aeruginosa	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_001516105.1_ASM151610v1_genomic.fna
GCF_001679685.1_ASM167968v1	287	287	Pseudomonas aeruginosa	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_001679685.1_ASM167968v1_genomic.fna
GCF_002075065.1_ASM207506v1	287	287	Pseudomonas aeruginosa	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_002075065.1_ASM207506v1_genomic.fna
GCF_001515915.2_ASM151591v2	287	287	Pseudomonas aeruginosa	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_001515915.2_ASM151591v2_genomic.fna
GCF_001516165.2_ASM151616v2	287	287	Pseudomonas aeruginosa	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_001516165.2_ASM151616v2_genomic.fna
GCF_001516225.2_ASM151622v2	287	287	Pseudomonas aeruginosa	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_001516225.2_ASM151622v2_genomic.fna
GCF_002192475.1_ASM219247v1	287	287	Pseudomonas aeruginosa	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_002192475.1_ASM219247v1_genomic.fna
GCF_002205375.1_ASM220537v1	287	287	Pseudomonas aeruginosa	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_002205375.1_ASM220537v1_genomic.fna
GCF_002205335.1_ASM220533v1	287	287	Pseudomonas aeruginosa	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_002205335.1_ASM220533v1_genomic.fna
GCF_900243355.1_RW109	287	287	Pseudomonas aeruginosa	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_900243355.1_RW109_genomic.fna
GCF_003193645.1_ASM319364v1	287	287	Pseudomonas aeruginosa	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_003193645.1_ASM319364v1_genomic.fna
GCF_003369755.1_ASM336975v1	287	287	Pseudomonas aeruginosa	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_003369755.1_ASM336975v1_genomic.fna
